id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1147762786880215891,Quiet Condo | King Bed | Pool Views,470228418,David,,District 2,32.81906162491886,-96.83179349660409,Entire home/apt,117,30,15,2024-08-11,4.59,3,212,15,
1147785567950885098,Modern+Central+Knx/Henderson+FastWiFi+Sleeps 4!1BR,525107380,Noemi,,District 2,32.81173,-96.7767,Entire home/apt,119,1,4,2024-07-08,1.19,3,236,4,
1147849130593364671,Lofty Industrial vibes,232967610,Grace,,District 2,32.766776258534776,-96.78921986371279,Entire home/apt,82,3,3,2024-06-15,0.99,1,263,3,
1147878265458677310,A stylishly renovated unit in the heart of Dallas,452078198,Mutiat,,District 13,32.88971737706383,-96.76603941441807,Entire home/apt,78,1,8,2024-08-12,4.29,3,177,8,
1147883785563921104,Tranquil Haven in the heart of Dallas,452078198,Mutiat,,District 11,32.88590898628419,-96.77378224919963,Entire home/apt,81,1,7,2024-08-11,5.12,3,174,7,
1147950594577058353,1BR Oasis in Trendy Bishop Arts,204317930,Kalyn,,District 1,32.749168880140125,-96.85065016116174,Entire home/apt,115,1,3,2024-06-02,1.13,1,338,3,
1147954380474677180,Holiday house in Dallas,469311339,Chanh,,District 7,32.76728700417369,-96.65369241377965,Entire home/apt,170,1,1,2024-05-31,0.38,15,269,1,
1148129325160402095,Comfy Queen bed with workspace,532616509,Charles,,District 10,32.91415,-96.73231,Private room,39,1,7,2024-08-03,2.50,7,76,7,
1148295605839510968,Spacious 4BR Dallas Villa w/ Parking,560836476,Irina,,District 4,32.7429419,-96.7907905,Entire home/apt,129,1,10,2024-08-11,3.06,1,351,10,
1148450427812671291,Luxury apartment /Fairpark,544759124,Britany,,District 7,32.7697795299922,-96.75961068143071,Entire home/apt,129,1,5,2024-06-29,1.76,4,266,5,
1148527232951813152,2 BR | 2 Bath | Downtown | Free Valet Parking | #,575137416,Fnu,,District 2,32.77713,-96.795,Entire home/apt,81,2,5,2024-07-19,1.43,9,339,5,
1148531377102423265,2BR | 2 Bath | Downtown Views | Free Valet Parking,575137416,Fnu,,District 2,32.77886,-96.79691,Entire home/apt,80,2,5,2024-07-22,1.79,9,345,5,
1148606642947143458,"Home in Dallas, 3 mins from UTSW hospital",575617042,Ya-Hsuan,,District 2,32.81694741669504,-96.84986556160918,Entire home/apt,177,2,0,,,1,250,0,
1148768071195286743,Dwntwn<10mins|TrinityGroves|Pets,470286369,Ashish,,District 6,32.76879815346763,-96.83996082745853,Entire home/apt,146,1,10,2024-07-17,3.23,4,86,10,
1149434162197923382,Knock knock,5024474,Aleeza,,District 7,32.8162627020586,-96.67893237595047,Entire home/apt,111,1,31,2024-08-14,9.39,1,230,31,
1149724063086850539,Luxury Townhouse with Private Rooftop - Dallas,572263405,Dorra,,District 14,32.79728,-96.78813,Entire home/apt,127,1,5,2024-08-05,2.38,1,69,5,
1149906751588870088,2 BR & 2 Bath | Downtown | Free Valet Parking | 1,575137416,Fnu,,District 2,32.77622269268443,-96.79454809327707,Entire home/apt,87,2,5,2024-07-23,1.72,9,336,5,
1150148528765768500,Convenient Condo,59520993,M.T.,,District 11,32.92661818662254,-96.76755710724886,Entire home/apt,87,30,0,,,1,269,0,
1150347195401473391,"1 mi to Conventn Ctr, Pets OK, King, W/D, parking",17533210,Steven,,District 2,32.76768,-96.78753,Entire home/apt,102,1,12,2024-07-28,3.75,1,232,12,
1150625937493894390,3BR Oasis With Pool + Grill + Patio!,106289693,Vello,,District 10,32.88224,-96.73682,Entire home/apt,194,2,8,2024-08-01,2.50,5,11,8,
1151041464633704800,Northhaven Trail Beauty,257006219,Amanda,,District 11,32.898668538209606,-96.77528944102667,Entire home/apt,214,30,0,,,1,226,0,
1151430935300996036,Luxurious 3-Story Townhome in the Heart of Uptown,563089677,Vacation Nest,,District 14,32.81734358502312,-96.79036090012966,Entire home/apt,275,30,3,2024-07-12,0.94,2,338,3,
1151505149590541626,"1BR Unit with Full Kitchen, Pet-friendly!",501999514,RoomPicks,,District 11,32.93865977396988,-96.81790536581758,Hotel room,399,1,3,2024-07-06,0.98,59,363,3,
